Total Transactions,Transaction Index,Unix Timestamp,Readable Timestamp,Open,Close,High,Low,tVol,UTC Date,Daily Total Volume,Cumulative Daily Volume,Cumulative Total Volume (Till Date)
531,71,1677704596,"Wed, 01 Mar 2023 21:03:16 GMT",5115311131025860158379222413433808598575520,5211940120457779952780995731908893457132964,5211940120457779952780995731908893457132964,5142331284103817791357027124345194347456798,30740664208708283808350043450000000000,2023-03-01,5751863052052038838701889712207113081688,3125431364833415973435631985181059059824,3125431364833415973435631985181059059824
531,72,1677704596,"Wed, 01 Mar 2023 21:03:16 GMT",5115311131025860158379222413433808598575520,5211940120457779952780995731908893457132964,5211940120457779952780995731908893457132964,5142331284103817791357027124345194347456798,30740664208708283808350043450000000000,2023-03-01,5751863052052038838701889712207113081688,3156172029042124257243982028631059059824,3156172029042124257243982028631059059824
531,73,1677704608,"Wed, 01 Mar 2023 21:03:28 GMT",5211940120457779952780995731908893457132964,5239212990481418919348609052622412371520180,5239212990481418919348609052622412371520180,5239212990481418919348609052622412371520180,8625076112193276728690743500000000000,2023-03-01,5751863052052038838701889712207113081688,3164797105154317533972672772131059059824,3164797105154317533972672772131059059824
531,74,1677704632,"Wed, 01 Mar 2023 21:03:52 GMT",5239212990481418919348609052622412371520180,5351818483866594699516094407655477157020740,5351818483866594699516094407655477157020740,5351818483866594699516094407655477157020740,35384702882435915705901480000000000000,2023-03-01,5751863052052038838701889712207113081688,3200181808036753449678574252131059059824,3200181808036753449678574252131059059824
531,75,1677704641,"Wed, 01 Mar 2023 21:04:01 GMT",5351818483866594699516094407655477157020740,5372020397867018596720508410251575533134528,5372020397867018596720508410251575533134528,5372020397867018596720508410251575533134528,6275225195873902918611093789357688212,2023-03-01,5751863052052038838701889712207113081688,3206457033232627352597185345920416748036,3206457033232627352597185345920416748036
531,76,1677704656,"Wed, 01 Mar 2023 21:04:16 GMT",5372020397867018596720508410251575533134528,5443165290645721035810163864069983395130102,5443165290645721035810163864069983395130102,5443165290645721035810163864069983395130102,22115870277535900722996105000000000000,2023-03-01,5751863052052038838701889712207113081688,3228572903510163253320181450920416748036,3228572903510163253320181450920416748036
531,77,1677704677,"Wed, 01 Mar 2023 21:04:37 GMT",5443165290645721035810163864069983395130102,5614779126977295032292049921444699335235200,5614779126977295032292049921444699335235200,5614779126977295032292049921444699335235200,53068299782333924500891200000000000000,2023-03-01,5751863052052038838701889712207113081688,3281641203292497177821072650920416748036,3281641203292497177821072650920416748036
531,78,1677704695,"Wed, 01 Mar 2023 21:04:55 GMT",5614779126977295032292049921444699335235200,5790121369039098643246105610854390902715440,5790121369039098643246105610854390902715440,5790121369039098643246105610854390902715440,53068570470541456216503120000000000000,2023-03-01,5751863052052038838701889712207113081688,3334709773763038634037575770920416748036,3334709773763038634037575770920416748036
531,79,1677704707,"Wed, 01 Mar 2023 21:05:07 GMT",5790121369039098643246105610854390902715440,5863815275737124758818884719104012556391760,5863815275737124758818884719104012556391760,5863815275737124758818884719104012556391760,22111343126096716608503400000000000000,2023-03-01,5751863052052038838701889712207113081688,3356821116889135350646079170920416748036,3356821116889135350646079170920416748036
531,80,1677704713,"Wed, 01 Mar 2023 21:05:13 GMT",5863815275737124758818884719104012556391760,5994961674507196443783294943987200843810720,5994961674507196443783294943987200843810720,5994961674507196443783294943987200843810720,38916289068329376319654368000000000000,2023-03-01,5751863052052038838701889712207113081688,3395737405957464726965733538920416748036,3395737405957464726965733538920416748036
531,81,1677704725,"Wed, 01 Mar 2023 21:05:25 GMT",5994961674507196443783294943987200843810720,6055068031161795652578695877018628917356400,6055068031161795652578695877018628917356400,6055068031161795652578695877018628917356400,17689331911987460218852440000000000000,2023-03-01,5751863052052038838701889712207113081688,3413426737869452187184585978920416748036,3413426737869452187184585978920416748036
531,82,1677704794,"Wed, 01 Mar 2023 21:06:34 GMT",6055068031161795652578695877018628917356400,5985120994293749705269274690107811917739280,5985120994293749705269274690107811917739280,5985120994293749705269274690107811917739280,18832401227150898813402415579408298400,2023-03-01,5751863052052038838701889712207113081688,3432259139096603085997988394499825046436,3432259139096603085997988394499825046436
